system:time_start;0;GPP
Jan 1;2004;755.546
Jan 9;2004;772.989
Jan 17;2004;845.692
Jan 25;2004;1026.567
Feb 2;2004;841.655
Feb 10;2004;794.657
Feb 18;2004;693.400
Feb 26;2004;822.089
Mar 5;2004;790.750
Mar 13;2004;837.410
Mar 21;2004;811.239
Mar 29;2004;543.116
Apr 6;2004;493.204
Apr 14;2004;578.150
Apr 22;2004;662.438
Apr 30;2004;614.410
May 8;2004;550.467
May 16;2004;498.423
May 24;2004;517.724
Jun 1;2004;475.294
Jun 9;2004;508.404
Jun 17;2004;558.158
Jun 25;2004;535.419
Jul 3;2004;489.165
Jul 11;2004;439.522
Jul 19;2004;434.546
Jul 27;2004;552.465
Aug 4;2004;612.141
Aug 12;2004;680.681
Aug 20;2004;655.977
Aug 28;2004;688.259
Sep 5;2004;761.601
Sep 13;2004;651.194
Sep 21;2004;738.169
Sep 29;2004;615.801
Oct 7;2004;649.496
Oct 15;2004;618.869
Oct 23;2004;729.268
Oct 31;2004;747.963
Nov 8;2004;845.118
Nov 16;2004;771.912
Nov 24;2004;753.668
Dec 2;2004;642.874
Dec 10;2004;846.455
Dec 18;2004;586.258
Dec 26;2004;627.518
Jan 1;2005;771.488
Jan 9;2005;850.657
Jan 17;2005;729.799
Jan 25;2005;679.539
Feb 2;2005;949.857
Feb 10;2005;957.109
Feb 18;2005;917.583
Feb 26;2005;667.337
Mar 6;2005;936.203
Mar 14;2005;607.629
Mar 22;2005;631.517
Mar 30;2005;758.468
Apr 7;2005;827.074
Apr 15;2005;681.175
Apr 23;2005;603.182
May 1;2005;665.296
May 9;2005;660.394
May 17;2005;498.825
May 25;2005;591.026
Jun 2;2005;567.084
Jun 10;2005;605.874
Jun 18;2005;497.790
Jun 26;2005;521.965
Jul 4;2005;499.380
Jul 12;2005;536.515
Jul 20;2005;513.152
Jul 28;2005;676.475
Aug 5;2005;582.754
Aug 13;2005;670.720
Aug 21;2005;625.492
Aug 29;2005;634.269
Sep 6;2005;630.837
Sep 14;2005;597.891
Sep 22;2005;490.077
Sep 30;2005;771.934
Oct 8;2005;758.560
Oct 15;2005;688.933
Oct 24;2005;660.860
Nov 1;2005;620.000
Nov 9;2005;853.611
Nov 17;2005;877.486
Nov 25;2005;642.593
Dec 3;2005;823.092
Dec 11;2005;666.151
Dec 19;2005;741.245
Dec 27;2005;548.093
Jan 1;2006;600.068
Jan 9;2006;1058.965
Jan 17;2006;981.064
Jan 25;2006;634.323
Feb 2;2006;805.260
Feb 10;2006;551.784
Feb 18;2006;733.395
Feb 26;2006;803.046
Mar 6;2006;660.449
Mar 14;2006;736.985
Mar 22;2006;692.388
Mar 30;2006;695.420
Apr 7;2006;720.891
Apr 15;2006;658.824
Apr 23;2006;692.815
May 1;2006;613.792
May 9;2006;572.773
May 17;2006;525.347
May 25;2006;561.432
Jun 2;2006;548.560
Jun 10;2006;556.063
Jun 18;2006;561.559
Jun 26;2006;466.610
Jul 4;2006;574.320
Jul 12;2006;614.606
Jul 20;2006;539.955
Jul 28;2006;392.663
Aug 5;2006;580.386
Aug 13;2006;571.170
Aug 21;2006;640.503
Aug 29;2006;575.551
Sep 6;2006;653.895
Sep 14;2006;613.134
Sep 22;2006;720.684
Sep 30;2006;552.347
Oct 8;2006;683.467
