system:time_start;0;;GPP
Jan;1;2004;757.105
Jan;9;2004;837.123
Jan;17;2004;873.351
Jan;25;2004;1010.456
Feb;2;2004;843.124
Feb;10;2004;829.774
Feb;18;2004;731.970
Feb;26;2004;871.837
Mar;5;2004;786.658
Mar;13;2004;872.542
Mar;21;2004;768.498
Mar;29;2004;526.574
Apr;6;2004;580.370
Apr;14;2004;553.884
Apr;22;2004;650.197
Apr;30;2004;593.058
May;8;2004;510.078
May;16;2004;471.697
May;24;2004;473.595
Jun;1;2004;427.277
Jun;9;2004;482.649
Jun;17;2004;540.794
Jun;25;2004;520.148
Jul;3;2004;472.427
Jul;11;2004;418.544
Jul;19;2004;440.670
Jul;27;2004;573.348
Aug;4;2004;610.089
Aug;12;2004;661.447
Aug;20;2004;627.157
Aug;28;2004;659.269
Sep;5;2004;770.980
Sep;13;2004;638.853
Sep;21;2004;760.215
Sep;29;2004;564.298
Oct;7;2004;641.233
Oct;15;2004;611.293
Oct;23;2004;755.449
Oct;31;2004;713.636
Nov;8;2004;867.086
Nov;16;2004;804.530
Nov;24;2004;867.701
Dec;2;2004;712.960
Dec;10;2004;951.405
Dec;18;2004;626.506
Dec;26;2004;651.207
Jan;1;2005;792.947
Jan;9;2005;846.896
Jan;17;2005;695.418
Jan;25;2005;742.236
Feb;2;2005;984.130
Feb;10;2005;946.966
Feb;18;2005;953.190
Feb;26;2005;695.911
Mar;6;2005;956.378
Mar;14;2005;616.644
Mar;22;2005;607.919
Mar;30;2005;751.456
Apr;7;2005;825.409
Apr;15;2005;677.924
Apr;23;2005;588.063
May;1;2005;670.684
May;9;2005;641.039
May;17;2005;498.957
May;25;2005;555.531
Jun;2;2005;544.107
Jun;10;2005;576.649
Jun;18;2005;480.425
Jun;26;2005;506.264
Jul;4;2005;466.314
Jul;12;2005;528.901
Jul;20;2005;498.599
Jul;28;2005;661.061
Aug;5;2005;569.139
Aug;13;2005;629.968
Aug;21;2005;589.331
Aug;29;2005;595.598
Sep;6;2005;573.349
Sep;14;2005;517.040
Sep;22;2005;355.758
Sep;30;2005;751.981
Oct;8;2005;801.755
Oct;15;2005;585.808
Oct;24;2005;665.747
Nov;1;2005;741.868
