system:time_start;0;NPP8
Jan 1;2004;389.929
Jan 9;2004;399.323
Jan 17;2004;437.266
Jan 25;2004;530.163
Feb 2;2004;435.163
Feb 10;2004;410.461
Feb 18;2004;357.681
Feb 26;2004;424.215
Mar 5;2004;407.856
Mar 13;2004;432.079
Mar 21;2004;418.561
Mar 29;2004;279.953
Apr 6;2004;254.588
Apr 14;2004;298.048
Apr 22;2004;341.999
Apr 30;2004;316.882
May 8;2004;284.107
May 16;2004;257.526
May 24;2004;267.520
Jun 1;2004;245.132
Jun 9;2004;261.928
Jun 17;2004;287.736
Jun 25;2004;275.892
Jul 3;2004;252.277
Jul 11;2004;226.384
Jul 19;2004;223.711
Jul 27;2004;284.566
Aug 4;2004;315.661
Aug 12;2004;351.021
Aug 20;2004;338.778
Aug 28;2004;355.354
Sep 5;2004;393.280
Sep 13;2004;336.764
Sep 21;2004;381.680
Sep 29;2004;318.702
Oct 7;2004;336.351
Oct 15;2004;319.905
Oct 23;2004;377.211
Oct 31;2004;386.542
Nov 8;2004;437.553
Nov 16;2004;399.601
Nov 24;2004;390.137
Dec 2;2004;332.572
Dec 10;2004;437.675
Dec 18;2004;302.849
Dec 26;2004;324.077
Jan 1;2005;392.643
Jan 9;2005;432.944
Jan 17;2005;371.551
Jan 25;2005;345.827
Feb 2;2005;483.649
Feb 10;2005;487.238
Feb 18;2005;467.445
Feb 26;2005;340.114
Mar 6;2005;477.634
Mar 14;2005;310.093
Mar 22;2005;321.610
Mar 30;2005;386.513
Apr 7;2005;420.968
Apr 15;2005;347.070
Apr 23;2005;307.061
May 1;2005;338.720
May 9;2005;336.231
May 17;2005;254.121
May 25;2005;301.032
Jun 2;2005;288.663
Jun 10;2005;308.444
Jun 18;2005;253.420
Jun 26;2005;265.699
Jul 4;2005;254.389
Jul 12;2005;273.162
Jul 20;2005;261.209
Jul 28;2005;344.383
Aug 5;2005;296.791
Aug 13;2005;341.635
Aug 21;2005;318.595
Aug 29;2005;322.733
Sep 6;2005;321.319
Sep 14;2005;304.369
Sep 22;2005;249.190
Sep 30;2005;393.069
Oct 8;2005;386.191
Oct 15;2005;350.794
Oct 24;2005;335.874
Nov 1;2005;314.328
Nov 9;2005;435.044
Nov 17;2005;446.651
Nov 25;2005;327.091
Dec 3;2005;419.561
Dec 11;2005;339.321
Dec 19;2005;377.493
Dec 27;2005;278.872
Jan 1;2006;302.786
Jan 9;2006;534.801
Jan 17;2006;495.776
Jan 25;2006;320.677
Feb 2;2006;406.704
Feb 10;2006;278.775
Feb 18;2006;370.602
Feb 26;2006;405.431
Mar 6;2006;333.671
Mar 14;2006;372.419
Mar 22;2006;349.647
Mar 30;2006;351.321
Apr 7;2006;364.572
Apr 15;2006;332.775
Apr 23;2006;349.732
May 1;2006;309.900
May 9;2006;289.019
May 17;2006;265.162
May 25;2006;283.367
Jun 2;2006;276.809
Jun 10;2006;280.532
Jun 18;2006;283.377
Jun 26;2006;235.596
Jul 4;2006;289.845
Jul 12;2006;310.325
