system:time_start;0;;NPP8
Jan;1;2004;421.203
Jan;9;2004;464.353
Jan;17;2004;483.220
Jan;25;2004;560.732
Feb;2;2004;466.564
Feb;10;2004;459.917
Feb;18;2004;406.507
Feb;26;2004;484.676
Mar;5;2004;436.553
Mar;13;2004;484.457
Mar;21;2004;427.198
Mar;29;2004;292.689
Apr;6;2004;322.267
Apr;14;2004;307.374
Apr;22;2004;361.381
Apr;30;2004;329.188
May;8;2004;282.763
May;16;2004;261.760
May;24;2004;261.987
Jun;1;2004;237.259
Jun;9;2004;268.012
Jun;17;2004;300.739
Jun;25;2004;288.699
Jul;3;2004;261.637
Jul;11;2004;232.047
Jul;19;2004;243.445
Jul;27;2004;317.909
Aug;4;2004;338.108
Aug;12;2004;366.815
Aug;20;2004;347.218
Aug;28;2004;365.579
Sep;5;2004;426.566
Sep;13;2004;353.346
Sep;21;2004;420.135
Sep;29;2004;311.155
Oct;7;2004;352.608
Oct;15;2004;337.704
Oct;23;2004;417.542
Oct;31;2004;394.965
Nov;8;2004;479.957
Nov;16;2004;445.057
Nov;24;2004;480.159
Dec;2;2004;395.153
Dec;10;2004;527.805
Dec;18;2004;347.484
Dec;26;2004;361.057
Jan;1;2005;436.035
Jan;9;2005;465.548
Jan;17;2005;382.734
Jan;25;2005;408.539
Feb;2;2005;541.652
Feb;10;2005;522.112
Feb;18;2005;525.795
Feb;26;2005;383.512
Mar;6;2005;527.735
Mar;14;2005;340.151
Mar;22;2005;335.420
Mar;30;2005;413.787
Apr;7;2005;455.352
Apr;15;2005;373.875
Apr;23;2005;324.581
May;1;2005;369.372
May;9;2005;353.351
May;17;2005;274.193
May;25;2005;305.542
Jun;2;2005;299.124
Jun;10;2005;317.332
Jun;18;2005;264.088
Jun;26;2005;278.841
Jul;4;2005;256.406
Jul;12;2005;291.110
Jul;20;2005;274.144
Jul;28;2005;363.367
Aug;5;2005;312.675
Aug;13;2005;344.960
Aug;21;2005;323.735
Aug;29;2005;328.015
Sep;6;2005;314.774
Sep;14;2005;283.880
Sep;22;2005;195.776
Sep;30;2005;414.501
Oct;8;2005;441.769
Oct;15;2005;322.710
Oct;24;2005;366.248
Nov;1;2005;408.208
Nov;9;2005;468.318
Nov;17;2005;516.385
Nov;25;2005;411.428
Dec;3;2005;504.683
Dec;11;2005;426.303
Dec;19;2005;398.920
Dec;27;2005;331.078
Jan;1;2006;290.814
Jan;9;2006;586.907
Jan;17;2006;521.820
Jan;25;2006;313.344
Feb;2;2006;418.544
Feb;10;2006;329.274
Feb;18;2006;393.068
Feb;26;2006;427.722
Mar;6;2006;387.531
Mar;14;2006;427.944
Mar;22;2006;365.608
Mar;30;2006;389.215
Apr;7;2006;410.244
Apr;15;2006;329.710
Apr;23;2006;363.618
May;1;2006;304.532
May;9;2006;286.558
May;17;2006;275.225
May;25;2006;297.341
Jun;2;2006;281.296
Jun;10;2006;284.825
Jun;18;2006;293.653
Jun;26;2006;245.362
Jul;4;2006;291.633
Jul;12;2006;314.004
Jul;20;2006;273.534
Jul;28;2006;220.664
Aug;5;2006;303.601
Aug;13;2006;291.354
Aug;21;2006;326.170
Aug;29;2006;280.854
Sep;6;2006;335.715
Sep;14;2006;307.216
Sep;22;2006;392.444
Sep;30;2006;252.057
Oct;8;2006;345.298
Oct;16;2006;428.348
Oct;24;2006;526.942
Nov;1;2006;443.421
Nov;9;2006;439.973
Nov;17;2006;490.640
Nov;25;2006;397.535
Dec;3;2006;447.845
Dec;11;2006;487.271
Dec;19;2006;424.930
Dec;27;2006;207.268
Jan;1;2007;387.554
Jan;9;2007;396.891
Jan;17;2007;369.518
Jan;25;2007;373.797
Feb;2;2007;449.996
Feb;10;2007;464.780
Feb;18;2007;515.968
Feb;26;2007;518.456
Mar;6;2007;467.727
Mar;14;2007;353.013
Mar;22;2007;406.163
Mar;30;2007;442.987
Apr;7;2007;336.486
Apr;15;2007;324.408
Apr;23;2007;279.489
May;1;2007;359.942
May;9;2007;288.123
May;17;2007;232.225
May;25;2007;292.695
Jun;2;2007;291.361
Jun;10;2007;283.985
Jun;18;2007;275.158
Jun;26;2007;253.409
Jul;4;2007;276.684
Jul;12;2007;237.880
Jul;20;2007;262.084
Jul;28;2007;274.762
Aug;5;2007;309.353
Aug;13;2007;349.050
Aug;21;2007;313.807
Aug;29;2007;351.709
Sep;6;2007;431.464
