date;month;day;year;biomass
Jan-1-2004;Jan;1;2004;974.823
Jan-9-2004;Jan;9;2004;998.306
Jan-17-2004;Jan;17;2004;1093.165
Jan-25-2004;Jan;25;2004;1325.407
Feb-2-2004;Feb;2;2004;1087.906
Feb-10-2004;Feb;10;2004;1026.153
Feb-18-2004;Feb;18;2004;894.204
Feb-26-2004;Feb;26;2004;1060.537
Mar-5-2004;Mar;5;2004;1019.639
Mar-13-2004;Mar;13;2004;1080.197
Mar-21-2004;Mar;21;2004;1046.402
Mar-29-2004;Mar;29;2004;699.882
Apr-6-2004;Apr;6;2004;636.470
Apr-14-2004;Apr;14;2004;745.121
Apr-22-2004;Apr;22;2004;854.998
Apr-30-2004;Apr;30;2004;792.206
May-8-2004;May;8;2004;710.269
May-16-2004;May;16;2004;643.816
May-24-2004;May;24;2004;668.800
Jun-1-2004;Jun;1;2004;612.830
Jun-9-2004;Jun;9;2004;654.819
Jun-17-2004;Jun;17;2004;719.340
Jun-25-2004;Jun;25;2004;689.730
Jul-3-2004;Jul;3;2004;630.692
Jul-11-2004;Jul;11;2004;565.960
Jul-19-2004;Jul;19;2004;559.276
Jul-27-2004;Jul;27;2004;711.416
Aug-4-2004;Aug;4;2004;789.153
Aug-12-2004;Aug;12;2004;877.552
Aug-20-2004;Aug;20;2004;846.945
Aug-28-2004;Aug;28;2004;888.385
Sep-5-2004;Sep;5;2004;983.199
Sep-13-2004;Sep;13;2004;841.911
Sep-21-2004;Sep;21;2004;954.200
Sep-29-2004;Sep;29;2004;796.754
Oct-7-2004;Oct;7;2004;840.879
Oct-15-2004;Oct;15;2004;799.763
Oct-23-2004;Oct;23;2004;943.028
Oct-31-2004;Oct;31;2004;966.356
Nov-8-2004;Nov;8;2004;1093.883
Nov-16-2004;Nov;16;2004;999.002
Nov-24-2004;Nov;24;2004;975.343
Dec-2-2004;Dec;2;2004;831.431
Dec-10-2004;Dec;10;2004;1094.188
Dec-18-2004;Dec;18;2004;757.124
Dec-26-2004;Dec;26;2004;810.193
Jan-1-2005;Jan;1;2005;981.606
Jan-9-2005;Jan;9;2005;1082.361
Jan-17-2005;Jan;17;2005;928.879
Jan-25-2005;Jan;25;2005;864.567
Feb-2-2005;Feb;2;2005;1209.122
Feb-10-2005;Feb;10;2005;1218.096
Feb-18-2005;Feb;18;2005;1168.612
Feb-26-2005;Feb;26;2005;850.284
Mar-6-2005;Mar;6;2005;1194.084
Mar-14-2005;Mar;14;2005;775.233
Mar-22-2005;Mar;22;2005;804.025
Mar-30-2005;Mar;30;2005;966.281
Apr-7-2005;Apr;7;2005;1052.421
Apr-15-2005;Apr;15;2005;867.674
Apr-23-2005;Apr;23;2005;767.653
May-1-2005;May;1;2005;846.800
May-9-2005;May;9;2005;840.577
May-17-2005;May;17;2005;635.303
May-25-2005;May;25;2005;752.579
Jun-2-2005;Jun;2;2005;721.659
Jun-10-2005;Jun;10;2005;771.109
Jun-18-2005;Jun;18;2005;633.550
Jun-26-2005;Jun;26;2005;664.247
Jul-4-2005;Jul;4;2005;635.973
Jul-12-2005;Jul;12;2005;682.905
Jul-20-2005;Jul;20;2005;653.023
Jul-28-2005;Jul;28;2005;860.958
Aug-5-2005;Aug;5;2005;741.977
Aug-13-2005;Aug;13;2005;854.087
Aug-21-2005;Aug;21;2005;796.488
Aug-29-2005;Aug;29;2005;806.831
Sep-6-2005;Sep;6;2005;803.299
Sep-14-2005;Sep;14;2005;760.922
Sep-22-2005;Sep;22;2005;622.974
Sep-30-2005;Sep;30;2005;982.673
Oct-8-2005;Oct;8;2005;965.479
Oct-15-2005;Oct;15;2005;876.984
Oct-24-2005;Oct;24;2005;839.686
Nov-1-2005;Nov;1;2005;785.821
Nov-9-2005;Nov;9;2005;1087.609
Nov-17-2005;Nov;17;2005;1116.628
Nov-25-2005;Nov;25;2005;817.728
Dec-3-2005;Dec;3;2005;1048.903
Dec-11-2005;Dec;11;2005;848.303
Dec-19-2005;Dec;19;2005;943.733
Dec-27-2005;Dec;27;2005;697.179
Jan-1-2006;Jan;1;2006;756.966
Jan-9-2006;Jan;9;2006;1337.002
Jan-17-2006;Jan;17;2006;1239.440
Jan-25-2006;Jan;25;2006;801.694
Feb-2-2006;Feb;2;2006;1016.760
Feb-10-2006;Feb;10;2006;696.937
Feb-18-2006;Feb;18;2006;926.504
Feb-26-2006;Feb;26;2006;1013.578
Mar-6-2006;Mar;6;2006;834.177
Mar-14-2006;Mar;14;2006;931.048
Mar-22-2006;Mar;22;2006;874.117
Mar-30-2006;Mar;30;2006;878.304
Apr-7-2006;Apr;7;2006;911.431
Apr-15-2006;Apr;15;2006;831.938
Apr-23-2006;Apr;23;2006;874.331
May-1-2006;May;1;2006;774.751
May-9-2006;May;9;2006;722.549
May-17-2006;May;17;2006;662.905
May-25-2006;May;25;2006;708.418
Jun-2-2006;Jun;2;2006;692.021
Jun-10-2006;Jun;10;2006;701.329
Jun-18-2006;Jun;18;2006;708.444
Jun-26-2006;Jun;26;2006;588.989
Jul-4-2006;Jul;4;2006;724.612
Jul-12-2006;Jul;12;2006;775.814
Jul-20-2006;Jul;20;2006;681.369
Jul-28-2006;Jul;28;2006;495.717
Aug-5-2006;Aug;5;2006;732.110
Aug-13-2006;Aug;13;2006;720.570
Aug-21-2006;Aug;21;2006;808.402
Aug-29-2006;Aug;29;2006;726.675
Sep-6-2006;Sep;6;2006;825.546
Sep-14-2006;Sep;14;2006;774.180
Sep-22-2006;Sep;22;2006;910.897
Sep-30-2006;Sep;30;2006;698.618
Oct-8-2006;Oct;8;2006;864.526
Oct-16-2006;Oct;16;2006;992.341
Oct-24-2006;Oct;24;2006;1213.043
Nov-1-2006;Nov;1;2006;1062.942
Nov-9-2006;Nov;9;2006;983.422
Nov-17-2006;Nov;17;2006;1158.836
Nov-25-2006;Nov;25;2006;914.345
Dec-3-2006;Dec;3;2006;1085.213
Dec-11-2006;Dec;11;2006;1168.037
Dec-19-2006;Dec;19;2006;951.807
Dec-27-2006;Dec;27;2006;481.168
Jan-1-2007;Jan;1;2007;843.849
Jan-9-2007;Jan;9;2007;931.449
Jan-17-2007;Jan;17;2007;902.836
Jan-25-2007;Jan;25;2007;902.150
Feb-2-2007;Feb;2;2007;1038.801
Feb-10-2007;Feb;10;2007;1088.382
Feb-18-2007;Feb;18;2007;1187.634
Feb-26-2007;Feb;26;2007;1209.481
Mar-6-2007;Mar;6;2007;1079.373
Mar-14-2007;Mar;14;2007;725.096
