system:time_start;0;;biomass
Jan;1;2004;1053.008
Jan;9;2004;1160.882
Jan;17;2004;1208.049
Jan;25;2004;1401.831
Feb;2;2004;1166.410
Feb;10;2004;1149.792
Feb;18;2004;1016.267
Feb;26;2004;1211.691
Mar;5;2004;1091.383
Mar;13;2004;1211.143
Mar;21;2004;1067.994
Mar;29;2004;731.723
Apr;6;2004;805.668
Apr;14;2004;768.436
Apr;22;2004;903.454
Apr;30;2004;822.969
May;8;2004;706.909
May;16;2004;654.399
May;24;2004;654.967
Jun;1;2004;593.147
Jun;9;2004;670.030
Jun;17;2004;751.847
Jun;25;2004;721.748
Jul;3;2004;654.093
Jul;11;2004;580.119
Jul;19;2004;608.613
Jul;27;2004;794.772
Aug;4;2004;845.270
Aug;12;2004;917.038
Aug;20;2004;868.046
Aug;28;2004;913.946
Sep;5;2004;1066.415
Sep;13;2004;883.365
Sep;21;2004;1050.338
Sep;29;2004;777.889
Oct;7;2004;881.519
Oct;15;2004;844.260
Oct;23;2004;1043.856
Oct;31;2004;987.412
Nov;8;2004;1199.893
Nov;16;2004;1112.641
Nov;24;2004;1200.397
Dec;2;2004;987.882
Dec;10;2004;1319.512
Dec;18;2004;868.710
Dec;26;2004;902.643
Jan;1;2005;1090.088
Jan;9;2005;1163.871
Jan;17;2005;956.836
Jan;25;2005;1021.348
Feb;2;2005;1354.131
Feb;10;2005;1305.281
Feb;18;2005;1314.486
Feb;26;2005;958.780
Mar;6;2005;1319.337
Mar;14;2005;850.378
Mar;22;2005;838.550
Mar;30;2005;1034.467
Apr;7;2005;1138.381
Apr;15;2005;934.688
Apr;23;2005;811.453
May;1;2005;923.429
May;9;2005;883.378
May;17;2005;685.482
May;25;2005;763.854
Jun;2;2005;747.810
Jun;10;2005;793.329
Jun;18;2005;660.219
Jun;26;2005;697.104
Jul;4;2005;641.016
Jul;12;2005;727.774
Jul;20;2005;685.359
Jul;28;2005;908.416
Aug;5;2005;781.687
Aug;13;2005;862.401
Aug;21;2005;809.336
Aug;29;2005;820.038
Sep;6;2005;786.934
Sep;14;2005;709.700
Sep;22;2005;489.441
Sep;30;2005;1036.254
Oct;8;2005;1104.422
Oct;15;2005;806.774
Oct;24;2005;915.620
Nov;1;2005;1020.521
Nov;9;2005;1170.795
Nov;17;2005;1290.962
