date;month;day;year;season;fragment;period;GPP;NPP8;biomass
Jan-1-2004;Jan;1;2004;summer;non_urban;rainy;755.546;389.929;974.823
Jan-9-2004;Jan;9;2004;summer;non_urban;rainy;772.989;399.323;998.306
Jan-17-2004;Jan;17;2004;summer;non_urban;rainy;845.692;437.266;1093.165
Jan-25-2004;Jan;25;2004;summer;non_urban;rainy;1026.567;530.163;1325.407
Feb-2-2004;Feb;2;2004;summer;non_urban;rainy;841.655;435.163;1087.906
Feb-10-2004;Feb;10;2004;summer;non_urban;rainy;794.657;410.461;1026.153
Feb-18-2004;Feb;18;2004;summer;non_urban;rainy;693.400;357.681;894.204
Feb-26-2004;Feb;26;2004;summer;non_urban;rainy;822.089;424.215;1060.537
Mar-5-2004;Mar;5;2004;summer;non_urban;rainy;790.750;407.856;1019.639
Mar-13-2004;Mar;13;2004;summer;non_urban;rainy;837.410;432.079;1080.197
Mar-21-2004;Mar;21;2004;fall;non_urban;dry;811.239;418.561;1046.402
Mar-29-2004;Mar;29;2004;fall;non_urban;dry;543.116;279.953;699.882
Apr-6-2004;Apr;6;2004;fall;non_urban;dry;493.204;254.588;636.470
Apr-14-2004;Apr;14;2004;fall;non_urban;dry;578.150;298.048;745.121
Apr-22-2004;Apr;22;2004;fall;non_urban;dry;662.438;341.999;854.998
Apr-30-2004;Apr;30;2004;fall;non_urban;dry;614.410;316.882;792.206
May-8-2004;May;8;2004;fall;non_urban;dry;550.467;284.107;710.269
May-16-2004;May;16;2004;fall;non_urban;dry;498.423;257.526;643.816
May-24-2004;May;24;2004;fall;non_urban;dry;517.724;267.520;668.800
Jun-1-2004;Jun;1;2004;fall;non_urban;dry;475.294;245.132;612.830
Jun-9-2004;Jun;9;2004;fall;non_urban;dry;508.404;261.928;654.819
Jun-17-2004;Jun;17;2004;fall;non_urban;dry;558.158;287.736;719.340
Jun-25-2004;Jun;25;2004;winter;non_urban;dry;535.419;275.892;689.730
Jul-3-2004;Jul;3;2004;winter;non_urban;dry;489.165;252.277;630.692
Jul-11-2004;Jul;11;2004;winter;non_urban;dry;439.522;226.384;565.960
Jul-19-2004;Jul;19;2004;winter;non_urban;dry;434.546;223.711;559.276
Jul-27-2004;Jul;27;2004;winter;non_urban;dry;552.465;284.566;711.416
Aug-4-2004;Aug;4;2004;winter;non_urban;dry;612.141;315.661;789.153
Aug-12-2004;Aug;12;2004;winter;non_urban;dry;680.681;351.021;877.552
Aug-20-2004;Aug;20;2004;winter;non_urban;dry;655.977;338.778;846.945
Aug-28-2004;Aug;28;2004;winter;non_urban;dry;688.259;355.354;888.385
Sep-5-2004;Sep;5;2004;winter;non_urban;dry;761.601;393.280;983.199
Sep-13-2004;Sep;13;2004;winter;non_urban;dry;651.194;336.764;841.911
Sep-21-2004;Sep;21;2004;winter;non_urban;dry;738.169;381.680;954.200
Sep-29-2004;Sep;29;2004;spring;non_urban;rainy;615.801;318.702;796.754
Oct-7-2004;Oct;7;2004;spring;non_urban;rainy;649.496;336.351;840.879
Oct-15-2004;Oct;15;2004;spring;non_urban;rainy;618.869;319.905;799.763
Oct-23-2004;Oct;23;2004;spring;non_urban;rainy;729.268;377.211;943.028
Oct-31-2004;Oct;31;2004;spring;non_urban;rainy;747.963;386.542;966.356
Nov-8-2004;Nov;8;2004;spring;non_urban;rainy;845.118;437.553;1093.883
Nov-16-2004;Nov;16;2004;spring;non_urban;rainy;771.912;399.601;999.002
Nov-24-2004;Nov;24;2004;spring;non_urban;rainy;753.668;390.137;975.343
Dec-2-2004;Dec;2;2004;spring;non_urban;rainy;642.874;332.572;831.431
Dec-10-2004;Dec;10;2004;spring;non_urban;rainy;846.455;437.675;1094.188
Dec-18-2004;Dec;18;2004;spring;non_urban;rainy;586.258;302.849;757.124
Dec-26-2004;Dec;26;2004;summer;non_urban;rainy;627.518;324.077;810.193
Jan-1-2005;Jan;1;2005;summer;non_urban;rainy;771.488;392.643;981.606
Jan-9-2005;Jan;9;2005;summer;non_urban;rainy;850.657;432.944;1082.361
Jan-17-2005;Jan;17;2005;summer;non_urban;rainy;729.799;371.551;928.879
Jan-25-2005;Jan;25;2005;summer;non_urban;rainy;679.539;345.827;864.567
Feb-2-2005;Feb;2;2005;summer;non_urban;rainy;949.857;483.649;1209.122
Feb-10-2005;Feb;10;2005;summer;non_urban;rainy;957.109;487.238;1218.096
Feb-18-2005;Feb;18;2005;summer;non_urban;rainy;917.583;467.445;1168.612
Feb-26-2005;Feb;26;2005;summer;non_urban;rainy;667.337;340.114;850.284
Mar-6-2005;Mar;6;2005;summer;non_urban;rainy;936.203;477.634;1194.084
Mar-14-2005;Mar;14;2005;summer;non_urban;rainy;607.629;310.093;775.233
Mar-22-2005;Mar;22;2005;fall;non_urban;dry;631.517;321.610;804.025
Mar-30-2005;Mar;30;2005;fall;non_urban;dry;758.468;386.513;966.281
Apr-7-2005;Apr;7;2005;fall;non_urban;dry;827.074;420.968;1052.421
Apr-15-2005;Apr;15;2005;fall;non_urban;dry;681.175;347.070;867.674
Apr-23-2005;Apr;23;2005;fall;non_urban;dry;603.182;307.061;767.653
May-1-2005;May;1;2005;fall;non_urban;dry;665.296;338.720;846.800
May-9-2005;May;9;2005;fall;non_urban;dry;660.394;336.231;840.577
May-17-2005;May;17;2005;fall;non_urban;dry;498.825;254.121;635.303
May-25-2005;May;25;2005;fall;non_urban;dry;591.026;301.032;752.579
Jun-2-2005;Jun;2;2005;fall;non_urban;dry;567.084;288.663;721.659
Jun-10-2005;Jun;10;2005;fall;non_urban;dry;605.874;308.444;771.109
Jun-18-2005;Jun;18;2005;fall;non_urban;dry;497.790;253.420;633.550
Jun-26-2005;Jun;26;2005;winter;non_urban;dry;521.965;265.699;664.247
Jul-4-2005;Jul;4;2005;winter;non_urban;dry;499.380;254.389;635.973
Jul-12-2005;Jul;12;2005;winter;non_urban;dry;536.515;273.162;682.905
Jul-20-2005;Jul;20;2005;winter;non_urban;dry;513.152;261.209;653.023
Jul-28-2005;Jul;28;2005;winter;non_urban;dry;676.475;344.383;860.958
Aug-5-2005;Aug;5;2005;winter;non_urban;dry;582.754;296.791;741.977
Aug-13-2005;Aug;13;2005;winter;non_urban;dry;670.720;341.635;854.087
Aug-21-2005;Aug;21;2005;winter;non_urban;dry;625.492;318.595;796.488
Aug-29-2005;Aug;29;2005;winter;non_urban;dry;634.269;322.733;806.831
Sep-6-2005;Sep;6;2005;winter;non_urban;dry;630.837;321.319;803.299
Sep-14-2005;Sep;14;2005;winter;non_urban;dry;597.891;304.369;760.922
Sep-22-2005;Sep;22;2005;winter;non_urban;dry;490.077;249.190;622.974
Sep-30-2005;Sep;30;2005;spring;non_urban;rainy;771.934;393.069;982.673
Oct-8-2005;Oct;8;2005;spring;non_urban;rainy;758.560;386.191;965.479
Oct-15-2005;Oct;15;2005;spring;non_urban;rainy;688.933;350.794;876.984
Oct-24-2005;Oct;24;2005;spring;non_urban;rainy;660.860;335.874;839.686
Nov-1-2005;Nov;1;2005;spring;non_urban;rainy;620.000;314.328;785.821
Nov-9-2005;Nov;9;2005;spring;non_urban;rainy;853.611;435.044;1087.609
Nov-17-2005;Nov;17;2005;spring;non_urban;rainy;877.486;446.651;1116.628
Nov-25-2005;Nov;25;2005;spring;non_urban;rainy;642.593;327.091;817.728
Dec-3-2005;Dec;3;2005;spring;non_urban;rainy;823.092;419.561;1048.903
Dec-11-2005;Dec;11;2005;spring;non_urban;rainy;666.151;339.321;848.303
Dec-19-2005;Dec;19;2005;spring;non_urban;rainy;741.245;377.493;943.733
Dec-27-2005;Dec;27;2005;summer;non_urban;rainy;548.093;278.872;697.179
Jan-1-2006;Jan;1;2006;summer;non_urban;rainy;600.068;302.786;756.966
Jan-9-2006;Jan;9;2006;summer;non_urban;rainy;1058.965;534.801;1337.002
Jan-17-2006;Jan;17;2006;summer;non_urban;rainy;981.064;495.776;1239.440
Jan-25-2006;Jan;25;2006;summer;non_urban;rainy;634.323;320.677;801.694
Feb-2-2006;Feb;2;2006;summer;non_urban;rainy;805.260;406.704;1016.760
Feb-10-2006;Feb;10;2006;summer;non_urban;rainy;551.784;278.775;696.937
Feb-18-2006;Feb;18;2006;summer;non_urban;rainy;733.395;370.602;926.504
Feb-26-2006;Feb;26;2006;summer;non_urban;rainy;803.046;405.431;1013.578
Mar-6-2006;Mar;6;2006;summer;non_urban;rainy;660.449;333.671;834.177
Mar-14-2006;Mar;14;2006;summer;non_urban;rainy;736.985;372.419;931.048
Mar-22-2006;Mar;22;2006;fall;non_urban;dry;692.388;349.647;874.117
Mar-30-2006;Mar;30;2006;fall;non_urban;dry;695.420;351.321;878.304
Apr-7-2006;Apr;7;2006;fall;non_urban;dry;720.891;364.572;911.431
Apr-15-2006;Apr;15;2006;fall;non_urban;dry;658.824;332.775;831.938
Apr-23-2006;Apr;23;2006;fall;non_urban;dry;692.815;349.732;874.331
May-1-2006;May;1;2006;fall;non_urban;dry;613.792;309.900;774.751
May-9-2006;May;9;2006;fall;non_urban;dry;572.773;289.019;722.549
May-17-2006;May;17;2006;fall;non_urban;dry;525.347;265.162;662.905
May-25-2006;May;25;2006;fall;non_urban;dry;561.432;283.367;708.418
Jun-2-2006;Jun;2;2006;fall;non_urban;dry;548.560;276.809;692.021
Jun-10-2006;Jun;10;2006;fall;non_urban;dry;556.063;280.532;701.329
Jun-18-2006;Jun;18;2006;fall;non_urban;dry;561.559;283.377;708.444
Jun-26-2006;Jun;26;2006;winter;non_urban;dry;466.610;235.596;588.989
Jul-4-2006;Jul;4;2006;winter;non_urban;dry;574.320;289.845;724.612
Jul-12-2006;Jul;12;2006;winter;non_urban;dry;614.606;310.325;775.814
Jul-20-2006;Jul;20;2006;winter;non_urban;dry;539.955;272.548;681.369
Jul-28-2006;Jul;28;2006;winter;non_urban;dry;392.663;198.287;495.717
Aug-5-2006;Aug;5;2006;winter;non_urban;dry;580.386;292.844;732.110
Aug-13-2006;Aug;13;2006;winter;non_urban;dry;571.170;288.228;720.570
Aug-21-2006;Aug;21;2006;winter;non_urban;dry;640.503;323.361;808.402
Aug-29-2006;Aug;29;2006;winter;non_urban;dry;575.551;290.670;726.675
Sep-6-2006;Sep;6;2006;winter;non_urban;dry;653.895;330.218;825.546
Sep-14-2006;Sep;14;2006;winter;non_urban;dry;613.134;309.672;774.180
Sep-22-2006;Sep;22;2006;winter;non_urban;dry;720.684;364.359;910.897
Sep-30-2006;Sep;30;2006;spring;non_urban;rainy;552.347;279.447;698.618
Oct-8-2006;Oct;8;2006;spring;non_urban;rainy;683.467;345.810;864.526
Oct-16-2006;Oct;16;2006;spring;non_urban;rainy;784.972;396.936;992.341
Oct-24-2006;Oct;24;2006;spring;non_urban;rainy;961.359;485.217;1213.043
Nov-1-2006;Nov;1;2006;spring;non_urban;rainy;841.981;425.177;1062.942
Nov-9-2006;Nov;9;2006;spring;non_urban;rainy;778.548;393.369;983.422
Nov-17-2006;Nov;17;2006;spring;non_urban;rainy;918.003;463.534;1158.836
Nov-25-2006;Nov;25;2006;spring;non_urban;rainy;725.341;365.738;914.345
Dec-3-2006;Dec;3;2006;spring;non_urban;rainy;859.315;434.085;1085.213
Dec-11-2006;Dec;11;2006;spring;non_urban;rainy;924.874;467.215;1168.037
Dec-19-2006;Dec;19;2006;spring;non_urban;rainy;754.052;380.723;951.807
Dec-27-2006;Dec;27;2006;summer;non_urban;rainy;381.088;192.467;481.168
Jan-1-2007;Jan;1;2007;summer;non_urban;rainy;667.843;337.540;843.849
Jan-9-2007;Jan;9;2007;summer;non_urban;rainy;736.999;372.580;931.449
Jan-17-2007;Jan;17;2007;summer;non_urban;rainy;714.442;361.135;902.836
Jan-25-2007;Jan;25;2007;summer;non_urban;rainy;713.870;360.860;902.150
Feb-2-2007;Feb;2;2007;summer;non_urban;rainy;821.454;415.520;1038.801
Feb-10-2007;Feb;10;2007;summer;non_urban;rainy;861.313;435.353;1088.382
Feb-18-2007;Feb;18;2007;summer;non_urban;rainy;939.807;475.053;1187.634
Feb-26-2007;Feb;26;2007;summer;non_urban;rainy;956.776;483.792;1209.481
Mar-6-2007;Mar;6;2007;summer;non_urban;rainy;854.262;431.749;1079.373
Mar-14-2007;Mar;14;2007;summer;non_urban;rainy;572.925;290.038;725.096
Mar-22-2007;Mar;22;2007;fall;non_urban;dry;756.111;382.165;955.413
Mar-30-2007;Mar;30;2007;fall;non_urban;dry;766.445;387.603;969.009
Apr-7-2007;Apr;7;2007;fall;non_urban;dry;698.441;353.031;882.576
Apr-15-2007;Apr;15;2007;fall;non_urban;dry;566.081;286.162;715.404
Apr-23-2007;Apr;23;2007;fall;non_urban;dry;515.158;260.536;651.341
May-1-2007;May;1;2007;fall;non_urban;dry;657.322;332.136;830.339
May-9-2007;May;9;2007;fall;non_urban;dry;547.337;276.602;691.506
May-17-2007;May;17;2007;fall;non_urban;dry;431.076;217.991;544.977
May-25-2007;May;25;2007;fall;non_urban;dry;546.899;276.368;690.919
Jun-2-2007;Jun;2;2007;fall;non_urban;dry;558.906;282.487;706.218
Jun-10-2007;Jun;10;2007;fall;non_urban;dry;531.906;268.700;671.749
Jun-18-2007;Jun;18;2007;fall;non_urban;dry;530.601;268.061;670.151
Jun-26-2007;Jun;26;2007;winter;non_urban;dry;513.316;259.210;648.025
Jul-4-2007;Jul;4;2007;winter;non_urban;dry;542.548;274.018;685.044
Jul-12-2007;Jul;12;2007;winter;non_urban;dry;442.426;223.464;558.659
Jul-20-2007;Jul;20;2007;winter;non_urban;dry;508.892;257.039;642.598
Jul-28-2007;Jul;28;2007;winter;non_urban;dry;564.349;285.139;712.847
Aug-5-2007;Aug;5;2007;winter;non_urban;dry;611.210;308.756;771.891
Aug-13-2007;Aug;13;2007;winter;non_urban;dry;656.444;331.777;829.443
Aug-21-2007;Aug;21;2007;winter;non_urban;dry;605.295;305.698;764.246
Aug-29-2007;Aug;29;2007;winter;non_urban;dry;681.297;344.180;860.449
Sep-6-2007;Sep;6;2007;winter;non_urban;dry;805.708;407.237;1018.093
Sep-14-2007;Sep;14;2007;winter;non_urban;dry;725.939;366.796;916.991
Sep-22-2007;Sep;22;2007;winter;non_urban;dry;651.258;329.160;822.900
