date;season;fragment_type;NPP8_gCm2_day;GPP_gCm2_day;biomass_gm2_day
2021-01-01;summer;non_urban;4.73555;9.1201125;11.838875
2021-01-09;summer;non_urban;5.816425;11.2049;14.541
2021-01-17;summer;non_urban;7.2157625;13.905125;18.039375
2021-01-25;summer;non_urban;5.7317625;11.0381;14.329375
2021-02-02;summer;non_urban;4.5832125;8.813;11.4580375
2021-02-10;summer;non_urban;4.53035;8.707675;11.3258625
2021-02-18;summer;non_urban;5.421225;10.4291875;13.553125
2021-02-26;summer;non_urban;4.411575;8.4996875;11.02895
2021-03-06;summer;non_urban;4.107675;7.9090125;10.2691875
2021-03-14;summer;non_urban;5.0931125;9.79535;12.73275
2021-03-22;fall;non_urban;5.3627;10.3275625;13.40675
2021-03-30;fall;non_urban;5.2741;10.1568625;13.18525
2021-04-07;fall;non_urban;5.1021875;9.8386625;12.7555
2021-04-15;fall;non_urban;4.488075;8.6516;11.2201875
2021-04-23;fall;non_urban;4.185325;8.065725;10.4633125
2021-05-01;fall;non_urban;4.1859125;8.0777;10.464775
2021-05-09;fall;non_urban;3.5243375;6.800125;8.8108375
2021-05-17;fall;non_urban;3.7221625;7.1829125;9.3054125
2021-05-25;fall;non_urban;3.055375;5.8996125;7.6384375
2021-06-02;fall;non_urban;3.5493625;6.8519875;8.8734125
2021-06-10;fall;non_urban;3.3436625;6.448;8.3591625
2021-06-18;fall;non_urban;3.0053375;5.797975;7.5133375
2021-06-26;winter;non_urban;3.6318375;7.0017875;9.0795875
2021-07-04;winter;non_urban;3.6061125;6.9592125;9.015275
2021-07-12;winter;non_urban;3.5104125;6.7727125;8.776025
2021-07-20;winter;non_urban;3.77575;7.279775;9.439375
2021-07-28;winter;non_urban;3.3348375;6.4293;8.3371
2021-08-05;winter;non_urban;3.9010875;7.52575;9.7527125
2021-08-13;winter;non_urban;3.9962375;7.7030375;9.9906
2021-08-21;winter;non_urban;3.9167625;7.5469125;9.7919
2021-08-29;winter;non_urban;4.5756375;8.8183;11.4391
2021-09-06;winter;non_urban;3.6952375;7.0941375;9.2380875
2021-09-14;winter;non_urban;4.4262875;8.5222;11.065725
2021-09-22;winter;non_urban;4.913525;9.4621125;12.2838
2021-09-30;spring;non_urban;4.6833875;9.01025;11.7084625
2021-10-08;spring;non_urban;4.1296125;7.941425;10.3240375
2021-10-16;spring;non_urban;4.1833875;8.044075;10.458475
2021-10-24;spring;non_urban;3.538375;6.804225;8.8459375
2021-11-01;spring;non_urban;5.2879;10.166275;13.21975
2021-11-09;spring;non_urban;4.848;9.314975;12.1199875
2021-11-17;spring;non_urban;6.0240625;11.5891875;15.060125
2021-11-25;spring;non_urban;5.7483;11.0707375;14.37075
2021-12-03;spring;non_urban;5.5514;10.6967625;13.8785
2021-12-11;spring;non_urban;4.1034375;7.8976125;10.2585875
2021-12-19;spring;non_urban;6.8347875;13.168875;17.087
2021-12-27;summer;non_urban;3.0661375;5.9073125;7.66535
2022-01-01;summer;non_urban;3.0921625;6.261475;7.7304125
2022-01-09;summer;non_urban;4.1339375;8.37105;10.3348625
2022-01-17;summer;non_urban;6.7528875;13.69075;16.88225
2022-01-25;summer;non_urban;4.20945;8.4871;10.5236125
2022-02-02;summer;non_urban;3.6836625;7.45745;9.20915
2022-02-10;summer;non_urban;4.828475;9.766075;12.0711875
2022-02-18;summer;non_urban;3.99975;8.0840875;9.9993625
2022-02-26;summer;non_urban;6.064725;12.2808125;15.161875
2022-03-06;summer;non_urban;5.18915;10.49105;12.972875
2022-03-14;summer;non_urban;4.9765;10.063275;12.4412625
2022-03-22;fall;non_urban;4.5419;9.1799125;11.35475
2022-03-30;fall;non_urban;4.2202125;8.53815;10.5505125
2022-04-07;fall;non_urban;4.60005;9.3308375;11.5001375
2022-04-15;fall;non_urban;4.686125;9.5094625;11.7153125
2022-04-23;fall;non_urban;4.4097625;8.945975;11.0244
2022-05-01;fall;non_urban;4.1278625;8.3615875;10.319675
2022-05-09;fall;non_urban;3.5309;7.1516625;8.82725
2022-05-17;fall;non_urban;3.6184375;7.3402625;9.0460875
2022-05-25;fall;non_urban;3.488325;7.0731;8.7208125
2022-06-02;fall;non_urban;2.95925;5.9961875;7.3981125
2022-06-10;fall;non_urban;2.8440375;5.767925;7.1100875
2022-06-18;fall;non_urban;3.4046125;6.8992875;8.5115125
2022-06-26;winter;non_urban;3.358525;6.8095375;8.396325
2022-07-04;winter;non_urban;3.655075;7.4065625;9.1376875
2022-07-12;winter;non_urban;3.2715375;6.6247375;8.1788375
2022-07-20;winter;non_urban;3.8735375;7.850475;9.6838625
2022-07-28;winter;non_urban;3.719575;7.536525;9.298925
2022-08-05;winter;non_urban;3.0229875;6.1219625;7.5574875
2022-08-13;winter;non_urban;3.706825;7.494825;9.26705
2022-08-21;winter;non_urban;3.9241625;7.9448625;9.8104
